规格书编号,客户名称,产品,客户特征,参数编号,参数名称,参数类别,单位,客户要求值,内部基线值,是否存在差异,差异方向,差异说明
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,MEC-07,跌落试验高度,机械性能,cm,60,60,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,MEC-08,紧固件扭矩,机械性能,N·m,8,8,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,EMC-01,静电放电(接触),EMC电磁兼容,kV,±4,±4,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,EMC-02,静电放电(空气),EMC电磁兼容,kV,±8,±8,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,EMC-03,传导骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,EMC-04,辐射骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,EMC-05,电源瞬态抗扰度,EMC电磁兼容,等级,Level 3,Level 3,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,REG-01,中国CCC认证,法规认证,要求,必须,必须,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,REG-02,欧洲ECE R149,法规认证,要求,必须,必须,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,REG-03,美国SAE J1383,法规认证,要求,可选,可选,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,REG-04,功能安全ASIL等级,法规认证,等级,ASIL D,ASIL B,是,高于,客户要求ASIL D，内部仅ASIL B
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,REG-05,网络安全要求,法规认证,要求,ISO 21434 Level 4,ISO 21434,是,高于,客户要求Level 4最高级别
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,REL-01,设计寿命,可靠性,h,10000,10000,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,REL-02,LED光衰标准(L70),可靠性,h,8000,8000,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,REL-03,PCBA MTBF,可靠性,h,50000,50000,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,REL-04,调光电机耐久,可靠性,万次,10,10,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,REL-05,整车质保期,可靠性,年,3,3,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,OPT-01,近光光通量,光学性能,lm,1200,1200,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,OPT-02,远光光通量,光学性能,lm,1800,1800,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,OPT-03,近光中心照度,光学性能,lx@25m,45,45,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,OPT-04,远光中心照度,光学性能,lx@25m,120,120,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,OPT-05,近光截止线清晰度,光学性能,%,80,85,是,低于,客户要求截止线80%，内部为85%
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,OPT-06,近光截止线水平偏移,光学性能,°,0.5,0.5,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,OPT-07,色温范围,光学性能,K,5500-6500,5500-6500,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,OPT-08,日行灯亮度,光学性能,cd,300,300,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,OPT-09,转向灯亮度,光学性能,cd,150,150,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,OPT-10,光型均匀度,光学性能,%,75,75,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ELE-01,额定工作电压,电气性能,V,12,12,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ELE-02,工作电压范围,电气性能,V,9-16,9-16,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ELE-03,近光功耗,电气性能,W,35,35,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ELE-04,远光功耗,电气性能,W,55,55,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ELE-05,待机功耗,电气性能,mA,2,2,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ELE-06,浪涌电流,电气性能,A,15,15,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ELE-07,CAN通信速率,电气性能,kbps,500,500,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ELE-08,LIN通信速率,电气性能,kbps,19.2,19.2,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ENV-01,最低工作温度,环境耐久,°C,-40,-40,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ENV-02,最高工作温度,环境耐久,°C,85,85,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ENV-03,存储温度下限,环境耐久,°C,-40,-40,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ENV-04,存储温度上限,环境耐久,°C,105,105,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ENV-05,防护等级,环境耐久,IP等级,IP67,IP67,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ENV-06,盐雾试验,环境耐久,h,480,720,是,低于,客户要求480h盐雾，内部为720h（客户要求更低）
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ENV-07,高温高湿试验,环境耐久,h,1000,1000,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ENV-08,温度循环次数,环境耐久,次,500,500,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ENV-09,耐振动(随机),环境耐久,Grms,3.0,5.0,是,低于,客户要求3Grms振动，内部为5Grms
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,ENV-10,紫外线老化,环境耐久,h,1500,2000,是,低于,客户要求1500h紫外，内部为2000h
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,MEC-01,灯罩冲击强度,机械性能,J,15,15,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,MEC-02,壳体弯曲刚度,机械性能,N/mm,50,50,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,MEC-03,安装点拔出力,机械性能,N,300,300,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,MEC-04,连接器插拔力,机械性能,N,80,80,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,MEC-05,调节电机寿命,机械性能,万次,5,5,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,MEC-06,整灯重量上限,机械性能,kg,4.0,3.5,是,低于,客户要求≤4.0kg，内部为3.5kg（更宽松）
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,MEC-07,跌落试验高度,机械性能,cm,60,60,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,MEC-08,紧固件扭矩,机械性能,N·m,8,8,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,EMC-01,静电放电(接触),EMC电磁兼容,kV,±4,±4,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,EMC-02,静电放电(空气),EMC电磁兼容,kV,±8,±8,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,EMC-03,传导骚扰限值,EMC电磁兼容,等级,Class 2,Class 3,是,低于,客户要求Class 2，内部为Class 3
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,EMC-04,辐射骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,EMC-05,电源瞬态抗扰度,EMC电磁兼容,等级,Level 3,Level 3,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,REG-01,中国CCC认证,法规认证,要求,不要求,必须,是,不同,客户不要求CCC认证（美标产品）
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,REG-02,欧洲ECE R149,法规认证,要求,不要求,必须,是,不同,客户不要求ECE（使用SAE标准）
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,REG-03,美国SAE J1383,法规认证,要求,必须,可选,是,高于,客户要求SAE必须，内部为可选
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,REG-04,功能安全ASIL等级,法规认证,等级,ASIL B,ASIL B,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,REG-05,网络安全要求,法规认证,要求,ISO 21434,ISO 21434,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,REL-01,设计寿命,可靠性,h,8000,10000,是,低于,客户要求8000h寿命，内部为10000h
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,REL-02,LED光衰标准(L70),可靠性,h,8000,8000,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,REL-03,PCBA MTBF,可靠性,h,50000,50000,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,REL-04,调光电机耐久,可靠性,万次,10,10,否,一致,
SPEC-004,某美系品牌（项目代号A1）,前大灯总成（卤素升级LED）,美系品牌，部分环境耐久要求较宽松,REL-05,整车质保期,可靠性,年,3,3,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,OPT-01,近光光通量,光学性能,lm,1300,1200,是,高于,客户要求1300lm，内部1200lm
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,OPT-02,远光光通量,光学性能,lm,1800,1800,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,OPT-03,近光中心照度,光学性能,lx@25m,45,45,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,OPT-04,远光中心照度,光学性能,lx@25m,120,120,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,OPT-05,近光截止线清晰度,光学性能,%,85,85,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,OPT-06,近光截止线水平偏移,光学性能,°,0.5,0.5,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,OPT-07,色温范围,光学性能,K,5500-6500,5500-6500,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,OPT-08,日行灯亮度,光学性能,cd,350,300,是,高于,客户要求DRL 350cd，内部300cd
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,OPT-09,转向灯亮度,光学性能,cd,150,150,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,OPT-10,光型均匀度,光学性能,%,75,75,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ELE-01,额定工作电压,电气性能,V,12,12,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ELE-02,工作电压范围,电气性能,V,9-16,9-16,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ELE-03,近光功耗,电气性能,W,30,35,是,高于,客户要求近光≤30W，内部35W
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ELE-04,远光功耗,电气性能,W,55,55,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ELE-05,待机功耗,电气性能,mA,2,2,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ELE-06,浪涌电流,电气性能,A,15,15,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ELE-07,CAN通信速率,电气性能,kbps,500,500,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ELE-08,LIN通信速率,电气性能,kbps,19.2,19.2,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ENV-01,最低工作温度,环境耐久,°C,-40,-40,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ENV-02,最高工作温度,环境耐久,°C,85,85,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ENV-03,存储温度下限,环境耐久,°C,-40,-40,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ENV-04,存储温度上限,环境耐久,°C,105,105,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ENV-05,防护等级,环境耐久,IP等级,IP67,IP67,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ENV-06,盐雾试验,环境耐久,h,800,720,是,高于,客户要求800h盐雾，内部720h
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ENV-07,高温高湿试验,环境耐久,h,1200,1000,是,高于,客户要求1200h温湿，内部1000h
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ENV-08,温度循环次数,环境耐久,次,500,500,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ENV-09,耐振动(随机),环境耐久,Grms,5.0,5.0,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,ENV-10,紫外线老化,环境耐久,h,2000,2000,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,MEC-01,灯罩冲击强度,机械性能,J,18,15,是,高于,客户要求18J冲击，内部15J
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,MEC-02,壳体弯曲刚度,机械性能,N/mm,50,50,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,MEC-03,安装点拔出力,机械性能,N,300,300,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,MEC-04,连接器插拔力,机械性能,N,80,80,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,MEC-05,调节电机寿命,机械性能,万次,5,5,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,MEC-06,整灯重量上限,机械性能,kg,3.5,3.5,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,MEC-07,跌落试验高度,机械性能,cm,60,60,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,MEC-08,紧固件扭矩,机械性能,N·m,8,8,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,EMC-01,静电放电(接触),EMC电磁兼容,kV,±4,±4,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,EMC-02,静电放电(空气),EMC电磁兼容,kV,±8,±8,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,EMC-03,传导骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,EMC-04,辐射骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,EMC-05,电源瞬态抗扰度,EMC电磁兼容,等级,Level 3,Level 3,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,REG-01,中国CCC认证,法规认证,要求,必须,必须,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,REG-02,欧洲ECE R149,法规认证,要求,必须,必须,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,REG-03,美国SAE J1383,法规认证,要求,可选,可选,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,REG-04,功能安全ASIL等级,法规认证,等级,ASIL B,ASIL B,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,REG-05,网络安全要求,法规认证,要求,ISO 21434,ISO 21434,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,REL-01,设计寿命,可靠性,h,10000,10000,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,REL-02,LED光衰标准(L70),可靠性,h,8000,8000,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,REL-03,PCBA MTBF,可靠性,h,50000,50000,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,REL-04,调光电机耐久,可靠性,万次,10,10,否,一致,
SPEC-005,某韩系品牌（项目代号K1）,尾灯总成（贯穿式LED尾灯）,韩系品牌，要求与内部基线接近,REL-05,整车质保期,可靠性,年,5,3,是,高于,客户要求5年质保，内部3年
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,OPT-01,近光光通量,光学性能,lm,1200,1200,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,OPT-02,远光光通量,光学性能,lm,1800,1800,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,OPT-03,近光中心照度,光学性能,lx@25m,45,45,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,OPT-04,远光中心照度,光学性能,lx@25m,120,120,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,OPT-05,近光截止线清晰度,光学性能,%,85,85,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,OPT-06,近光截止线水平偏移,光学性能,°,0.5,0.5,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,OPT-07,色温范围,光学性能,K,5500-6500,5500-6500,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,OPT-08,日行灯亮度,光学性能,cd,300,300,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,OPT-09,转向灯亮度,光学性能,cd,150,150,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,OPT-10,光型均匀度,光学性能,%,75,75,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ELE-01,额定工作电压,电气性能,V,24,12,是,不同,客户要求24V系统，内部为12V
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ELE-02,工作电压范围,电气性能,V,18-32,9-16,是,不同,客户要求18-32V，内部9-16V
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ELE-03,近光功耗,电气性能,W,35,35,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ELE-04,远光功耗,电气性能,W,55,55,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ELE-05,待机功耗,电气性能,mA,2,2,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ELE-06,浪涌电流,电气性能,A,15,15,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ELE-07,CAN通信速率,电气性能,kbps,500,500,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ELE-08,LIN通信速率,电气性能,kbps,19.2,19.2,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ENV-01,最低工作温度,环境耐久,°C,-50,-40,是,高于,客户要求-50°C低温，内部-40°C
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ENV-02,最高工作温度,环境耐久,°C,100,85,是,高于,客户要求100°C高温，内部85°C
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ENV-03,存储温度下限,环境耐久,°C,-40,-40,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ENV-04,存储温度上限,环境耐久,°C,105,105,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ENV-05,防护等级,环境耐久,IP等级,IP67,IP67,否,一致,
